name	logFC	AveExpr	t	P.Value	adj.P.Val	B
GNA11	GNA11	-0.765840286335884	10.0795750872771	-4.70844633429398	3.98669478252529e-05	0.000178497614396266	1.76751906322909
ITGB1	ITGB1	-0.635628128750287	11.7798446005069	-4.69002954188696	3.98048721707816e-05	0.000178497614396266	1.75945274083537
QDPR	QDPR	-0.85200964276159	10.1839188145391	-4.69865376588564	4.10465492249295e-05	0.000183290308906002	1.75780225437561
MTREX	MTREX	0.802500024230831	8.84657736205594	4.68124641924216	4.32292898635149e-05	0.00019252513973698	1.68862120083902
HSP90B1;NA	HSP90B1;NA	0.766611020952313	12.6935504291987	4.65123575121472	4.47310284920612e-05	0.000198686235021616	1.64587395656418
PLTP	PLTP	-1.44549250340018	10.7880854562995	-4.67137156730791	5.01455502991347e-05	0.000217556534760329	1.63749338691062
NUP93	NUP93	0.782601244007974	9.10337977280528	4.67490249222327	4.66991898170092e-05	0.000205795117330075	1.62346059479794
SORD	SORD	0.889383858522764	9.90059531683155	4.6579290758681	4.63339571688155e-05	0.000204722931806424	1.62106197466816
SH3BGRL	SH3BGRL	-0.726188841332162	10.3439044143992	-4.64242347431417	4.59314055741029e-05	0.000203479762424588	1.62010382632678
APRT	APRT	0.478212145744465	10.8022093377213	4.65020897094348	4.74096922692643e-05	0.000208379249529044	1.61829524321869
TPPP3	TPPP3	-1.44698038350371	10.7148220050429	-4.66218571160313	4.84782710741545e-05	0.000211966190451837	1.60565729812125
CARS1	CARS1	0.828575735551675	9.38261862395461	4.62900351073188	4.78208085905889e-05	0.000209637435048561	1.58088109033039
RANGAP1	RANGAP1	0.680581853372168	9.00017713708494	4.65129871488371	5.00545546364498e-05	0.000217556534760329	1.55582981203412
HBA1	HBA1	-1.17446547505779	14.4701989979664	-4.6160895876	4.97113642701575e-05	0.000216793196388557	1.54316258774665
ILF3	ILF3	0.446459564986609	11.4170683566124	4.60277175579854	5.17383415572725e-05	0.000223888338852218	1.50429063317723
ABCA3	ABCA3	-1.9913662942492	9.57052668800167	-4.61566428945494	5.25336266450183e-05	0.000226266079925505	1.49865939129235
NCBP1	NCBP1	0.657099856197391	8.88586658746203	4.62902964935182	5.34384834879398e-05	0.000229471134977624	1.49208686682001
SF3B2	SF3B2	0.60801017011101	10.1003584552514	4.59753627233809	5.25573383984198e-05	0.000226266079925505	1.48901674021153
XPO1	XPO1	0.545836417865596	9.71374648500043	4.5828967907822	5.49159531781561e-05	0.000235213993331949	1.4463301855163
PAPSS1	PAPSS1	0.77759234347303	8.76555540745566	4.62098912920853	5.80428742017516e-05	0.000246095923698841	1.44168387109445
GNA13	GNA13	-0.550579598462562	9.9955709656417	-4.58118736065797	5.5198086631671e-05	0.00023582083321775	1.44134790574054
GMPPB	GMPPB	0.857692970618151	9.93248190460525	4.59240893602715	5.6287477436334e-05	0.000239864656384784	1.43162077567468
PCBP1	PCBP1	0.816480124794957	9.93183775684181	4.58858949714762	5.69288454949932e-05	0.000241983624268592	1.42059609728001
SH3KBP1	SH3KBP1	1.12155387148769	9.0040705739657	4.58048418891444	6.16194984904799e-05	0.00025864784491379	1.3974430327776
CD44	CD44	-0.72802550643099	10.6212670101696	-4.5610301064073	5.86347727027107e-05	0.00024797930319358	1.38263243568614
PSMD11	PSMD11	0.395372866828966	10.2209611390005	4.55877229856607	5.90326224262497e-05	0.000249034605662496	1.37605973508121
RPL7	RPL7	0.91070196546503	11.0756331559381	4.55125963412635	6.03757020964328e-05	0.000254062164962182	1.35419549185239
PITRM1	PITRM1	1.04139294882792	8.95272385378613	4.55660179062671	6.25914760866207e-05	0.000262072539524778	1.32834827187189
EIF4A1	EIF4A1	0.419449306473572	11.772632655389	4.52662119529229	6.49954520953036e-05	0.000271461104646803	1.28255378394745
RPN1	RPN1	0.523235757695232	11.3666021716071	4.52396753810803	6.55133445453317e-05	0.000272945174917151	1.27484360669336
GSTO1	GSTO1	-0.670253723439334	11.6219535673283	-4.50352514448675	6.96416621109006e-05	0.00028942661060446	1.21548760011736
ALDH1A1	ALDH1A1	-1.36348011269444	11.5088838640103	-4.50235446511153	6.98856903511395e-05	0.000289723639752008	1.21209056228414
LIPA	LIPA	-1.44885826870626	10.0124851553794	-4.50907639825423	7.20460082865807e-05	0.000296483450767571	1.21068020805094
FKBP3	FKBP3	0.634867585512993	10.9893686007269	4.49487951074437	7.14638347199837e-05	0.000295536400233627	1.19040544961817
AK1	AK1	-0.871691991547401	11.7436998574277	-4.4940534458977	7.1640377451387e-05	0.000295538559559899	1.18800958646665
GTF2I;GTF2IRD2B	GTF2I;GTF2IRD2B	0.718517800387923	9.41397445504149	4.48439771522958	7.37360965219656e-05	0.000302696591834671	1.16001337412992
PRPF8	PRPF8	0.590815554302928	9.61864515672948	4.4827340006541	7.41032467043749e-05	0.00030342086640523	1.15519114403781
ITGA3	ITGA3	-0.950735193239247	9.92227546111495	-4.48196319703708	7.42739583636389e-05	0.00030342086640523	1.15295715245438
SERPINA1	SERPINA1	-0.864373864303673	12.3028403114757	-4.47679550493611	7.542850717761e-05	0.000307389474638852	1.13798246289039
NIPSNAP3A;NIPSNAP3B	NIPSNAP3A;NIPSNAP3B	-0.623925655497887	10.172371023864	-4.47410810327217	7.60358869675046e-05	0.000309114416993802	1.13019686139103
SLC25A24	SLC25A24	-0.564738431555181	10.6026900339555	-4.46946199921333	7.70973377113769e-05	0.000312672536273917	1.11673970620729
HNRNPDL	HNRNPDL	0.581543965187354	11.1791836049605	4.46385685352664	7.83973303040572e-05	0.000317178596579547	1.10050974474049
CCAR2	CCAR2	0.629159380867664	9.39424046039702	4.45399233471065	8.07378241861878e-05	0.000325862516366849	1.07195992987531
FUS	FUS	0.626136359962937	10.7667145643583	4.45290443673031	8.10001181911401e-05	0.000326110970394449	1.06881239252281
NNMT	NNMT	1.31636884497978	10.0367497905749	4.49563236098295	8.34396829140465e-05	0.000331979212352332	1.06857493400893
HP	HP	-1.08082284028014	12.1991657565986	-4.45212795854457	8.11878413489457e-05	0.000326110970394449	1.0665659916481
EWSR1	EWSR1	0.552946794115632	10.8665706002807	4.45478878691635	8.45776067280067e-05	0.000335260463526597	1.05579444441507
C4B	C4B	-0.824692363160199	11.234718632783	-4.44751904486302	8.23109530524262e-05	0.000329833150775713	1.05323430765301
NCL	NCL	0.542919548606482	11.8606617855483	4.44510152670067	8.29061621025098e-05	0.000331427252785985	1.04624293317201
ANXA6	ANXA6	-0.605531615790767	11.7923328648775	-4.44350361185488	8.33019034100585e-05	0.000331979212352332	1.04162239249505
C2	C2	-0.769724964132083	9.72219747948276	-4.43806132506275	8.46637501699088e-05	0.000335260463526597	1.02588886052736
MOGS	MOGS	0.434825213920639	10.3528786044099	4.42651671054867	8.76255745519165e-05	0.000346172563935689	0.992531233460004
MAPK3	MAPK3	-0.67823359494494	9.62202411814448	-4.43189823078754	9.0484452072222e-05	0.000355473479994921	0.970230799151757
EEF1A1;NA	EEF1A1;NA	0.40106119112874	13.2171614949147	4.41670623611529	9.02224716909913e-05	0.000355473479994921	0.964203283350544
GMPS	GMPS	0.668997948514466	9.0682500146204	4.44332762521529	9.20318234569212e-05	0.000359352166474815	0.963165843581397
HBD	HBD	-1.61329813873238	12.2561865955309	-4.42885827033661	9.12988686580918e-05	0.000357321213232952	0.961363040170225
DDX1	DDX1	0.536990301504485	9.76928282261913	4.4152474387509	9.06150383786933e-05	0.000355473479994921	0.959992473707317
HNRNPUL1	HNRNPUL1	0.619300801328874	9.96858503301847	4.41767833686079	9.43565992558521e-05	0.000366723912385592	0.949652326972375
EPB41L2	EPB41L2	-1.74757153743545	10.0795978140718	-4.40234608455891	9.41607945763175e-05	0.000366723912385592	0.922769804259044
S100A10	S100A10	-1.09244564483478	11.7198714408119	-4.40431945794222	9.81427472592858e-05	0.000378469605972323	0.910697652158997
AMBP	AMBP	-1.16543645559882	10.9681062689683	-4.41346672390308	0.00010040300468911	0.000384001468959032	0.900710376930356
GCN1	GCN1	1.25430284827599	9.25488548750671	4.40744607132431	9.72434163376119e-05	0.000377070891526213	0.900309852368355
FLNA	FLNA	-0.70284700056245	12.4699798055344	-4.39011116045348	9.76493328135587e-05	0.000377772418880104	0.887498369927369
FKBP4	FKBP4	0.925323837228804	11.2615602025464	4.38794399185788	9.82803741536229e-05	0.000378469605972323	0.881253664064352
NDRG1	NDRG1	0.944493654932925	10.7683392071022	4.38542059853807	9.90201969420082e-05	0.000380446019829821	0.873983605496273
SLC4A1	SLC4A1	-2.32131481100883	10.3656309564156	-4.39077442795893	0.00010726239150855	0.000407451482676144	0.867861466057248
HSPE1	HSPE1	0.75872758143978	11.5197651464843	4.38192310760679	0.000100054675220203	0.000383542921677446	0.863909089462361
DPP3	DPP3	0.717571997166576	9.73018154683295	4.377227163	0.000101460359913252	0.000387163509759888	0.850386060145057
PABPC4;NA	PABPC4;NA	0.777261696826136	9.62484423220041	4.37024328394027	0.000103586901933354	0.00039438187833583	0.830282140198941
TOP2B	TOP2B	0.592852145660808	9.36378194326652	4.34638051014249	0.000111188897700303	0.000421413452006341	0.761660845603788
HCFC1	HCFC1	0.645666944690632	9.15984577264057	4.35331587835348	0.000114023781967788	0.000430215572862732	0.745897821657731
RPL6	RPL6	0.483661269298182	12.0277887149541	4.33964268535027	0.000113432894381506	0.000428950066816553	0.742305106185323
TJP2	TJP2	-1.04596291905373	9.08063199772127	-4.33235703016245	0.000115909427843691	0.000436298034580255	0.721385624208018
RAC1	RAC1	-0.472936388555741	11.6049410280488	-4.3316412517938	0.0001161555815708	0.000436298034580255	0.71933095557204
PSMD8	PSMD8	0.469300729645477	9.2194098416795	4.34139334425798	0.000118086237767584	0.00044255980627628	0.711958658633657
DNAJC7	DNAJC7	0.673555077132853	8.82497261192657	4.33714738108046	0.000125360855748593	0.000464637697134408	0.710912852730406
F2	F2	-0.914285568135879	10.3506204710928	-4.3249642356885	0.000118476665341325	0.000443034122735154	0.700169208202261
VCAN	VCAN	1.01076262981554	9.70444523948649	4.33657403228398	0.000119768464579006	0.000446869448951449	0.69824726034625
BZW1	BZW1	0.813922662197179	10.0266235642208	4.3486140770814	0.000121254143051258	0.000450410854387304	0.695423796386797
SEC61A1;SEC61A2	SEC61A1;SEC61A2	0.521106870595444	10.5645057643778	4.32017490519285	0.000120169548163648	0.000447371776866441	0.686430200000849
CUL4B	CUL4B	0.975896251173515	8.46919395530693	4.32930059949415	0.000128249713274719	0.000474297948432275	0.661275522147837
EIF3D	EIF3D	1.03591425004909	9.57110725065098	4.29688035326575	0.000134550315945821	0.000495416623844372	0.60637125605548
MTA2	MTA2	0.569119695847386	9.65176253445319	4.2922139939704	0.000130537639904414	0.000481698236042883	0.606311434510127
EIF3C;EIF3CL	EIF3C;EIF3CL	0.38057758348126	10.197078439984	4.27178395290833	0.00013866363897898	0.00050944474802124	0.547872216237328
EIF2S3;NA	EIF2S3;NA	0.470880853337068	10.3083729674354	4.26721490095615	0.000140547797424768	0.000515239632917434	0.534814460500249
CCDC6	CCDC6	0.567556946603569	9.17416880473914	4.25522415431096	0.000145612754704996	0.000532644477450303	0.500567219851264
RPS18	RPS18	0.42393867287694	12.0289254441276	4.24644197117353	0.000149435576645631	0.000545439854756554	0.475503286374416
IDE	IDE	1.59069605034719	9.78738215994276	4.24870611101465	0.000154913141277113	0.000562985203905351	0.469900150237309
MTDH	MTDH	0.51790567155334	10.5926120178443	4.24062595038585	0.000152021253275486	0.000553673935465381	0.458913643649246
SRRT	SRRT	0.482905184161224	9.40601501172895	4.23099122475295	0.000156401509125792	0.000567166595728306	0.431447405828483
RPS19	RPS19	0.658286028137875	11.3223935776888	4.22387292609526	0.000159716975219616	0.000577941382314086	0.411167697391076
NAA15	NAA15	0.755586022091141	9.13767555882633	4.24323826521885	0.000172406005499969	0.000617206147621426	0.409798546858546
ATAD3A	ATAD3A	0.730543148536849	9.53987346729013	4.21965779435819	0.00016171262284636	0.000583904287653846	0.399164142291753
PCYOX1	PCYOX1	-0.502671683121807	10.8058035879821	-4.20743203749749	0.000167640171021978	0.0006040082556779	0.364370359707365
OSBPL8;OSBPL5	OSBPL8;OSBPL5	0.657613350307052	9.17601933544375	4.20247527754763	0.000170103622661741	0.000611571696893069	0.350273033495134
HSPH1	HSPH1	0.765649282171998	10.0652777320845	4.20010455351483	0.000171294351690255	0.00061453678736739	0.343532461626196
ZMPSTE24	ZMPSTE24	0.649151461069048	9.50913176417818	4.19648628828098	0.000173127437573778	0.000618470144013562	0.3332472038435
EIF3A	EIF3A	0.361929368860354	10.2171288880256	4.19405538763799	0.000174369761120267	0.000621585624035942	0.326338767551458
HNRNPA3	HNRNPA3	0.418635559030232	12.345028003215	4.18989805695089	0.000176514657121025	0.000627886509009373	0.314526985166245
SEC22B	SEC22B	0.432502235477747	11.4200213221945	4.18918479397275	0.000176885240477328	0.000627886509009373	0.312500852865941
PLG;NA	PLG;NA	-0.978970334176957	10.4861719254937	-4.18645382141526	0.000178311205610759	0.00063161289919929	0.304744156221878
AHNAK	AHNAK	-1.03736603731389	12.0857738083831	-4.16044748576936	0.000192466900878915	0.000680319845422523	0.230963067361463
EIF3B	EIF3B	0.369049983575378	10.1180142869976	4.15961554625011	0.000192937447391518	0.000680550365904115	0.228605346001788
TCERG1	TCERG1	0.733543290266187	9.19039769710526	4.1590012666275	0.000201201098170473	0.000702465011404064	0.216842214625991
STX7	STX7	-0.668674365793768	10.1339049897779	-4.15105999610722	0.000197842302412485	0.000695639362232926	0.204368043707785
PSMD12	PSMD12	0.455937540584504	9.72804519306412	4.15071290290949	0.000198043844638081	0.000695639362232926	0.203385105806698
RPL22	RPL22	0.593964580334578	12.0835856379236	4.16147037551045	0.000208342880737357	0.000724239537801289	0.200929229301797
AGRN	AGRN	-0.87800748892923	10.9800654584753	-4.15993240705633	0.000200657195184269	0.000702465011404064	0.199211019296273
PSMD3	PSMD3	0.363886131046234	10.4567946935403	4.14525052515349	0.000201242209937674	0.000702465011404064	0.187919773627978
DNAJB1	DNAJB1	0.705395438900599	9.4204117187954	4.13943556722734	0.000204702576884016	0.000713061465950753	0.171463764453856
PGK1	PGK1	0.55714516612041	12.7492539525739	4.13184119244465	0.000209309640116663	0.000726096871396442	0.149983909487561
PSMC4	PSMC4	0.684968200859613	9.25881296760996	4.15091107308695	0.000214770676018105	0.000741975236696293	0.141718829912563
TMED10	TMED10	0.485322905480748	11.4593612052588	4.12788893248422	0.000211747229668969	0.000733038347658142	0.138810691089423
CCT4	CCT4	0.380253346989898	10.7796429478524	4.12105411850478	0.000216028367184367	0.00074478773819826	0.119496990026487
SFN	SFN	1.2189309590812	10.1013299492697	4.15062923130764	0.000224550448304927	0.000772582382590107	0.107795751234833
STXBP1	STXBP1	-0.830869666041222	8.8708655350322	-4.12767937955355	0.000229604816285414	0.000788356823196748	0.0774610831880338
PDCD6	PDCD6	0.734460505633502	9.0286180921641	4.11008886098556	0.000231896087393408	0.000792980714324913	0.0589087454945503
SERPINA4	SERPINA4	-1.18049016411207	9.10535516649309	-4.09838459842803	0.000230842868376321	0.000790990155109885	0.0555168169118936
MACF1	MACF1	-0.997216239001586	10.3183281224369	-4.09215668682519	0.000235083826658078	0.000802247449103482	0.0379612350762359
LIMA1	LIMA1	0.476228621232238	10.2902379505373	4.08698833054348	0.000238661025534511	0.000812802965258505	0.0233994689572254
PA2G4	PA2G4	0.373647701544259	11.4951507230952	4.08347054725582	0.000241126182705634	0.000819536155390202	0.0134918559774233
CFH;CFHR3	CFH;CFHR3	-0.756409274171704	10.6226910267627	-4.0797868676908	0.000243734270268532	0.000826726949052254	0.0031202192751989
RPN2	RPN2	0.555239692505094	11.0944603591192	4.07818102842385	0.000244879833890953	0.000828937986094577	-0.00140009343781156
USO1	USO1	0.873550053099121	9.60936194815606	4.08332684286112	0.000250584581119264	0.000846542277060853	-0.0157154523572096
IARS1	IARS1	0.723354608127844	9.8063191983374	4.06346777858218	0.000255623829080696	0.000861832146639535	-0.0427874528959338
RNF213	RNF213	1.56054883324467	8.66694895257656	4.06043835305625	0.000257892497589041	0.000867738483871742	-0.051302427674762
PRKAA1;PRKAA2	PRKAA1;PRKAA2	0.870456666592412	9.6747727478295	4.05740628078875	0.000260182840543173	0.000873693978543976	-0.0598225761339775
CUL1	CUL1	0.714418239511208	8.66767616590407	4.05351861485668	0.000263148564277722	0.000881889100643303	-0.070743625178471
CHMP4B	CHMP4B	0.687997227376481	10.3050054206842	4.05163604858494	0.000264596530135639	0.00088497524720665	-0.0760306966033051
GARS1	GARS1	0.860806294864346	9.93696545527843	4.06381179950768	0.000287338878134993	0.000951562083606811	-0.0840928633912856
THUMPD1	THUMPD1	0.697007256805017	9.87227072092542	4.04895561307994	0.000276759761267889	0.000921983411049177	-0.0906857680665816
ZC3HAV1	ZC3HAV1	0.986413980849042	8.92208020453702	4.04442862914864	0.000270212354059169	0.00090196131702852	-0.0962641478911461
ROCK1	ROCK1	-0.946559918462043	11.1102738110817	-4.03340261028323	0.000279029455906812	0.000927703874193144	-0.127192472412682
LETM1	LETM1	0.421462631314512	9.69425790943007	4.02352314864978	0.000287167867564156	0.000951562083606811	-0.154878683126979
ATIC	ATIC	0.685231745999841	10.1470806340416	4.01703274475208	0.000292640104632925	0.000967210109603704	-0.173053935428177
ISOC1	ISOC1	-0.360727657312612	9.59819573998277	-4.02483935830186	0.000296702079189202	0.000978708823101514	-0.1786042745734
LAMB1	LAMB1	-0.580125285100731	9.32742247235629	-4.03313892337746	0.000301033305334905	0.000991048862073147	-0.184047786827781
UBA5	UBA5	0.622069974979873	8.52111571559255	4.03187875192768	0.000314520405955747	0.00103027138793267	-0.197033511587523
OGDH;OGDHL	OGDH;OGDHL	-0.414821094016808	10.0589742934175	-3.99768737714709	0.000309561381959958	0.00101713025501129	-0.227163395483072
LRBA	LRBA	1.09343579478025	10.625420176353	4.01749183105649	0.000314788101256379	0.00103027138793267	-0.227438971889608
IDH2	IDH2	0.46535568182215	11.176089866079	3.98187976032506	0.00032409354022352	0.00105866352925154	-0.271305900558541
SMU1	SMU1	0.75833489140139	8.85067315023761	3.98995617409219	0.000340500628685601	0.00110580378252055	-0.282179072036012
COX2	COX2	0.584824218945593	11.0913007160402	3.9700732182057	0.000335379358658593	0.00109340183143258	-0.304232862214499
PSMC5	PSMC5	0.347581165568567	10.3535602889646	3.96613059682784	0.000339232740477985	0.0011038212621367	-0.315220158929878
CYB5A	CYB5A	-1.08880868539178	9.35101831515265	-3.99539327664001	0.00034866493580819	0.00112795458038911	-0.316808968707234
LPCAT3	LPCAT3	-0.547975187449968	9.9495081382719	-3.95923692836701	0.000346074327487754	0.0011217351271273	-0.334421538803713
ORM1	ORM1	-1.2337980937185	10.4203815797728	-3.98582528329783	0.000358203273483685	0.0011565832618829	-0.343574469297271
ALDOC	ALDOC	0.872534420476111	9.67330916637273	3.95811812890284	0.000359474110610231	0.00115845879407788	-0.363409046449588
KHSRP	KHSRP	0.517069126917788	9.85530323498334	3.93934726139487	0.000366576095477133	0.00117908288181246	-0.389750419235598
BZW2	BZW2	0.688456998275717	9.57489120577138	3.93648956731961	0.000411581902744238	0.00130454775313549	-0.397671008745586
ACSL1	ACSL1	-0.723554625682103	10.2457457531363	-3.92585984746166	0.000381146821963323	0.00122360518943866	-0.427208903730208
ATP2A2;ATP2A1	ATP2A2;ATP2A1	0.552841642113295	10.8245794198357	3.92304097031149	0.00038426260839589	0.00123125366316164	-0.435031498609741
RBM8A	RBM8A	0.481194023751289	10.457354564272	3.92233517126978	0.00038504662283489	0.00123141577093292	-0.436989804097533
TXNDC5	TXNDC5	1.06743359369461	10.6934554940272	3.91751379034131	0.000390444117434071	0.00124630356116313	-0.450363531157935
ANK1	ANK1	-1.93127254872087	9.84292565047293	-3.93504239577185	0.000398050160269808	0.00126817119372487	-0.45390239365105
RAB25	RAB25	0.953163238195652	9.67671964070486	3.90507348600794	0.000404713427869321	0.00128695804051627	-0.484841409718071
CFB	CFB	-0.737588077592704	10.9506510384134	-3.89790895907647	0.0004131603205938	0.00130454775313549	-0.504678239808467
GANAB	GANAB	0.422780972528555	11.2126025198921	3.89758472927552	0.000413546614256604	0.00130454775313549	-0.505575615991259
LRRFIP2	LRRFIP2	-0.532357644258546	8.4649608589323	-3.89681067473364	0.000414470259554782	0.00130454775313549	-0.507717861265411
C9	C9	-0.881887102550733	10.7776028174845	-3.89654388028175	0.000414789078634424	0.00130454775313549	-0.508456193263821
COPB1	COPB1	0.628411343778218	10.3309151783688	3.89603867015152	0.000415393458165245	0.00130454775313549	-0.509854267003163
PSMD4	PSMD4	0.566637832603892	10.1555241884384	3.89579624924272	0.000415683768866879	0.00130454775313549	-0.510525095900347
SPCS2	SPCS2	0.914808439055417	10.4300776567722	3.89265603327105	0.000419462218243683	0.00131394974707303	-0.519213243621837
TIMM44	TIMM44	0.427446936093038	9.58399191673092	3.88637073135025	0.000427125624400206	0.00133546354444683	-0.536594735823845
ASS1	ASS1	1.14330147687045	9.90032865344145	3.9063546276564	0.000447929650516553	0.00139272941336536	-0.53660756085748
RBM22	RBM22	0.525320169877912	8.40132444832529	3.88998771448631	0.000468964971266943	0.00144475630597651	-0.555155549978225
C8G	C8G	-0.795906400309967	10.0022667531226	-3.8760717139882	0.000439978168107867	0.00137309171794258	-0.565051855889828
RARS1	RARS1	0.450035980845461	10.3744070916372	3.87511669810183	0.000441188851533728	0.00137431555051045	-0.56768913648391
CKAP5	CKAP5	0.949141631798774	8.91191099342086	3.86478602360179	0.00045449398924178	0.00141052755626053	-0.596200821259994
GNB1;GNB3	GNB1;GNB3	-0.634422793390568	11.0298704226744	-3.88191688402477	0.000462707204823234	0.00142809815606289	-0.598523093050709
NAMPT	NAMPT	1.30656371995305	10.8635182318446	3.8622449400566	0.000457826034348574	0.00141824706950416	-0.603209322246982
MYO6	MYO6	0.514214464593866	9.81955972049018	3.86150405812639	0.000458801994028975	0.00141865294286307	-0.605252384013017
CKB	CKB	-1.71120820163168	10.1420979613107	-3.87960323454177	0.000482807997972063	0.00148467880695072	-0.631100700486687
PHPT1	PHPT1	0.826112869895731	9.69514932783273	3.85601473316675	0.000515749943483179	0.001568739411428	-0.638051150057597
C1QBP	C1QBP	0.653786873789445	10.0149175753389	3.84410046428291	0.000497943786214254	0.00152285540446946	-0.654742953680085
GPX3	GPX3	-0.934618681479828	10.4224899092785	-3.84300890798804	0.000483831600458347	0.00148510650305222	-0.656203759378058
SORBS1	SORBS1	-1.84213569251011	9.09106016660133	-3.83524256218517	0.000510650046439841	0.00155723269239805	-0.669766219094971
GSPT1	GSPT1	0.556655645069245	9.6588685161207	3.83546475734661	0.00049441784788646	0.0015148313259149	-0.676958432948184
TKFC	TKFC	0.484812196957202	9.5631327949038	3.82393056525087	0.000511039436278335	0.00155723269239805	-0.70865806999523
SNX2	SNX2	-0.477801600168867	10.5146330689576	-3.81075229695193	0.000530694919333492	0.00161127806430548	-0.744828410356774
TMED2	TMED2	0.536296708383418	11.4700874827964	3.81806118642705	0.000536200931283409	0.00162505661304123	-0.747570908457805
QARS1	QARS1	0.510933200060592	9.83711035178328	3.80747103876698	0.000552564361394625	0.00167163164465149	-0.776399511783409
H1-10	H1-10	0.82113555754718	11.4413913200504	3.79111575422942	0.00056135114436816	0.0016951593010686	-0.798629315241094
AFG3L2	AFG3L2	0.544947227785247	9.26038567279627	3.78918409755296	0.000564458041400001	0.00170148124149121	-0.803915517685276
ALYREF	ALYREF	0.776560064076827	9.74037690468103	3.78483755730752	0.000608281247930925	0.00181726728696801	-0.813138505946479
DBNL	DBNL	0.714476530393855	9.88459724950432	3.77782989326761	0.000583060356720566	0.00175440562532945	-0.834964923194885
PRKAR2A	PRKAR2A	-0.344199673554666	10.3094657270561	-3.77701454279724	0.000584418848743562	0.00175534749023335	-0.83719309750883
PDIA3	PDIA3	0.457725349846923	12.7802855353355	3.7654887659332	0.000603954062651321	0.00181078369855637	-0.868668941532291
BLVRB	BLVRB	-0.738205735488391	10.9961976916578	-3.76353775912165	0.000607322929946874	0.00181726728696801	-0.873992960844669
AK3	AK3	-0.679342302125013	10.2567813893247	-3.76495095007448	0.000623287182167542	0.00185879072621546	-0.892003473425712
ERH	ERH	0.560006431208139	10.6233507869252	3.74768740632412	0.000635375907062595	0.0018914825318406	-0.917203079945359
MYH14	MYH14	-0.766756323778152	11.9742516764737	-3.73979707062044	0.000649805023190135	0.00193101351139157	-0.938684290811498
TNPO1	TNPO1	0.387207769949391	9.2332410263865	3.72425513540023	0.000699160146715934	0.00207401039988702	-1.00179680024035
VPS45	VPS45	0.557046863979675	8.71665457892467	3.73125055025087	0.000706802197171287	0.00208562546406079	-1.00485577494741
C8B	C8B	-0.872004571218058	9.55468603600412	-3.71297889169628	0.000701260012770788	0.0020765706551008	-1.0115509241697
CA2	CA2	-1.19048825781517	11.5776461449772	-3.71049590839652	0.0007062188271463	0.00208562546406079	-1.01828590751909
PARP4	PARP4	0.701242002417295	10.9526641050109	3.71546923620214	0.000716678702877747	0.00210367752120933	-1.02547387957112
ATP13A1	ATP13A1	0.72902889594584	9.83506097381193	3.70783036476606	0.000711580023108897	0.00209604010315761	-1.02551390560179
RALY	RALY	0.465580916135215	11.154565825863	3.70586490700656	0.000715558357829094	0.00210367752120933	-1.03084207902493
ARF4	ARF4	0.438954301323385	12.7530807956603	3.69539371200154	0.000737118998671839	0.0021599001723735	-1.05920780255828
CASK	CASK	0.77202750576433	8.3862873099415	3.71117776164157	0.000771552158668654	0.00224512317921087	-1.05956002241721
UGGT1;UGGT2	UGGT1;UGGT2	0.523788237846045	10.3076553714719	3.68685401101387	0.000755166863464272	0.00220892885671866	-1.08231530389286
SERPINB6	SERPINB6	-0.615571526043871	11.4915682436652	-3.68545032736979	0.000758174048358985	0.00221386822120824	-1.08611127872695
RBBP4	RBBP4	0.462617708601721	9.75077069171329	3.69132875122477	0.00076703194133508	0.00223584484288472	-1.09040848289966
XPOT	XPOT	0.995600174320872	8.34163829914947	3.69347485284579	0.000785387347814379	0.00227748766317848	-1.10562095575896
AHSA1	AHSA1	0.489705080788308	9.92497080119239	3.67551991734495	0.000779781859464366	0.00226514488242331	-1.11294789342174
SAMHD1	SAMHD1	-0.593219440513455	10.854514386891	-3.67151205089677	0.000788670362206144	0.00228306472093813	-1.12376998803704
CCDC47	CCDC47	0.54336015157272	10.1890888250826	3.67043986886168	0.00079106477437582	0.00228605465779174	-1.12666422440319
ENTPD1	ENTPD1	-0.895221676495673	9.76898352630659	-3.68546709663778	0.000828347340493168	0.00236128214717832	-1.12806533170819
PPP2R5A	PPP2R5A	-0.551879722643715	9.32617898751593	-3.66603749056615	0.000800970134904268	0.00231070250258465	-1.13854403656674
LRP1	LRP1	-0.948525585688756	9.44330964164862	-3.66202078956284	0.000810112281960896	0.00233298165516031	-1.14937758844354
ACIN1	ACIN1	0.475913343080478	9.53377998931146	3.66142718250836	0.000811471880055759	0.00233298165516031	-1.15097817509973
NANS	NANS	0.647850887934101	10.4611065055143	3.6586199141214	0.000817931594178294	0.00234390915310911	-1.15854605941424
ATP1B3	ATP1B3	-0.537716464572496	9.61234930513269	-3.65856226041435	0.000818064778869528	0.00234390915310911	-1.15870145627652
PPP1CA	PPP1CA	0.548781286499953	9.48106335872204	3.67196731966197	0.000859772043172285	0.00243962267937271	-1.16316123169212
SNRNP70	SNRNP70	0.497229607944025	10.7217308713075	3.65492755360592	0.000826503702481566	0.0023611871239331	-1.16849606017415
CISD2	CISD2	0.623737036064298	10.3101468073512	3.65475444993728	0.000826907700341073	0.0023611871239331	-1.16896242210684
HSPA9	HSPA9	0.420789660751023	11.3579485512429	3.6452595536851	0.000849362141217826	0.002417083110347	-1.19452770476803
NES	NES	-1.53337295295037	9.02962399135584	-3.6651007954726	0.000876196495555907	0.00247665642430702	-1.20098772543726
